;measurement_location_id;measurement_location_code;measurement_location_description;parameter_id;parameter_code;date_time;unit;value;value_type
62;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 02:20:00+01:00;cm;470.0;meting
63;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 02:30:00+01:00;cm;472.0;meting
64;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 02:40:00+01:00;cm;471.0;meting
65;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 02:50:00+01:00;cm;469.0;meting
66;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 03:00:00+01:00;cm;469.0;meting
67;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 03:10:00+01:00;cm;471.0;meting
68;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 03:20:00+01:00;cm;471.0;meting
69;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 03:30:00+01:00;cm;469.0;meting
70;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 03:40:00+01:00;cm;468.0;meting
71;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 03:50:00+01:00;cm;470.0;meting
72;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 04:00:00+01:00;cm;471.0;meting
73;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 04:10:00+01:00;cm;469.0;meting
74;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 04:20:00+01:00;cm;468.0;meting
75;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 04:30:00+01:00;cm;469.0;meting
76;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 04:40:00+01:00;cm;470.0;meting
77;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 04:50:00+01:00;cm;469.0;meting
78;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 05:00:00+01:00;cm;468.0;meting
79;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 05:10:00+01:00;cm;468.0;meting
80;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 05:20:00+01:00;cm;470.0;meting
81;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 05:30:00+01:00;cm;468.0;meting
82;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 05:40:00+01:00;cm;467.0;meting
83;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 05:50:00+01:00;cm;467.0;meting
84;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 06:00:00+01:00;cm;469.0;meting
85;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 06:10:00+01:00;cm;469.0;meting
86;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 06:20:00+01:00;cm;467.0;meting
87;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 06:30:00+01:00;cm;467.0;meting
88;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 06:40:00+01:00;cm;468.0;meting
89;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 06:50:00+01:00;cm;469.0;meting
90;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 07:00:00+01:00;cm;469.0;meting
91;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 07:10:00+01:00;cm;466.0;meting
92;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 07:20:00+01:00;cm;469.0;meting
93;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 07:30:00+01:00;cm;467.0;meting
94;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 07:40:00+01:00;cm;466.0;meting
95;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 07:50:00+01:00;cm;467.0;meting
96;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 08:00:00+01:00;cm;470.0;meting
97;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 08:10:00+01:00;cm;471.0;meting
98;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 08:20:00+01:00;cm;465.0;meting
99;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 08:30:00+01:00;cm;468.0;meting
100;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 08:40:00+01:00;cm;469.0;meting
101;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 08:50:00+01:00;cm;470.0;meting
102;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 09:00:00+01:00;cm;472.0;meting
103;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 09:10:00+01:00;cm;468.0;meting
104;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 09:20:00+01:00;cm;468.0;meting
105;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 09:30:00+01:00;cm;472.0;meting
106;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 09:40:00+01:00;cm;471.0;meting
107;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 09:50:00+01:00;cm;473.0;meting
108;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 10:00:00+01:00;cm;465.0;meting
109;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 10:10:00+01:00;cm;469.0;meting
110;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 10:20:00+01:00;cm;471.0;meting
111;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 10:30:00+01:00;cm;470.0;meting
112;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 10:40:00+01:00;cm;468.0;meting
113;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 10:50:00+01:00;cm;463.0;meting
114;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 11:00:00+01:00;cm;469.0;meting
115;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 11:10:00+01:00;cm;472.0;meting
116;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 11:20:00+01:00;cm;472.0;meting
117;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 11:30:00+01:00;cm;464.0;meting
118;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 11:40:00+01:00;cm;466.0;meting
119;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 11:50:00+01:00;cm;471.0;meting
120;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 12:00:00+01:00;cm;474.0;meting
121;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 12:10:00+01:00;cm;468.0;meting
122;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 12:20:00+01:00;cm;464.0;meting
123;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 12:30:00+01:00;cm;469.0;meting
124;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 12:40:00+01:00;cm;472.0;meting
125;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 12:50:00+01:00;cm;471.0;meting
126;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 13:00:00+01:00;cm;469.0;meting
127;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 13:10:00+01:00;cm;464.0;meting
128;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 13:20:00+01:00;cm;473.0;meting
129;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 13:30:00+01:00;cm;475.0;meting
130;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 13:40:00+01:00;cm;467.0;meting
131;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 13:50:00+01:00;cm;467.0;meting
132;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 14:00:00+01:00;cm;473.0;meting
133;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 14:10:00+01:00;cm;474.0;meting
134;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 14:20:00+01:00;cm;469.0;meting
135;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 14:30:00+01:00;cm;467.0;meting
136;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 14:40:00+01:00;cm;475.0;meting
137;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 14:50:00+01:00;cm;472.0;meting
138;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 15:00:00+01:00;cm;469.0;meting
139;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 15:10:00+01:00;cm;467.0;meting
140;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 15:20:00+01:00;cm;471.0;meting
141;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 15:30:00+01:00;cm;473.0;meting
142;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 15:40:00+01:00;cm;468.0;meting
143;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 15:50:00+01:00;cm;467.0;meting
144;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 16:00:00+01:00;cm;469.0;meting
145;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 16:10:00+01:00;cm;471.0;verwachting
146;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 16:20:00+01:00;cm;468.0;verwachting
147;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 16:30:00+01:00;cm;466.0;verwachting
148;1;rosmalen.hinthamsluis.boven;Rosmalen Hinthamsluis boven;4724;WATHTE;2026-01-30 16:40:00+01:00;cm;467.0;verwachting
