waveval_id,waveval_type,hr_locid,hr_location,winddir,windspeed
131,6,13421200,034-02_0200_9_HD_km0996,22.5,10.0
132,6,13421200,034-02_0200_9_HD_km0996,22.5,20.0
133,6,13421200,034-02_0200_9_HD_km0996,22.5,30.0
134,6,13421200,034-02_0200_9_HD_km0996,22.5,42.0
135,6,13421200,034-02_0200_9_HD_km0996,45.0,0.0
136,6,13421200,034-02_0200_9_HD_km0996,45.0,10.0
137,6,13421200,034-02_0200_9_HD_km0996,45.0,20.0
138,6,13421200,034-02_0200_9_HD_km0996,45.0,30.0
139,6,13421200,034-02_0200_9_HD_km0996,45.0,42.0
140,6,13421200,034-02_0200_9_HD_km0996,67.5,0.0
141,6,13421200,034-02_0200_9_HD_km0996,67.5,10.0
142,6,13421200,034-02_0200_9_HD_km0996,67.5,20.0
143,6,13421200,034-02_0200_9_HD_km0996,67.5,30.0
144,6,13421200,034-02_0200_9_HD_km0996,67.5,42.0
145,6,13421200,034-02_0200_9_HD_km0996,90.0,0.0
146,6,13421200,034-02_0200_9_HD_km0996,90.0,10.0
147,6,13421200,034-02_0200_9_HD_km0996,90.0,20.0
148,6,13421200,034-02_0200_9_HD_km0996,90.0,30.0
149,6,13421200,034-02_0200_9_HD_km0996,90.0,42.0
150,6,13421200,034-02_0200_9_HD_km0996,112.5,0.0
151,6,13421200,034-02_0200_9_HD_km0996,112.5,10.0
152,6,13421200,034-02_0200_9_HD_km0996,112.5,20.0
153,6,13421200,034-02_0200_9_HD_km0996,112.5,30.0
154,6,13421200,034-02_0200_9_HD_km0996,112.5,42.0
155,6,13421200,034-02_0200_9_HD_km0996,135.0,0.0
156,6,13421200,034-02_0200_9_HD_km0996,135.0,10.0
157,6,13421200,034-02_0200_9_HD_km0996,135.0,20.0
158,6,13421200,034-02_0200_9_HD_km0996,135.0,30.0
159,6,13421200,034-02_0200_9_HD_km0996,135.0,42.0
160,6,13421200,034-02_0200_9_HD_km0996,157.5,0.0
161,6,13421200,034-02_0200_9_HD_km0996,157.5,10.0
162,6,13421200,034-02_0200_9_HD_km0996,157.5,20.0
163,6,13421200,034-02_0200_9_HD_km0996,157.5,30.0
164,6,13421200,034-02_0200_9_HD_km0996,157.5,42.0
165,6,13421200,034-02_0200_9_HD_km0996,180.0,0.0
166,6,13421200,034-02_0200_9_HD_km0996,180.0,10.0
167,6,13421200,034-02_0200_9_HD_km0996,180.0,20.0
168,6,13421200,034-02_0200_9_HD_km0996,180.0,30.0
169,6,13421200,034-02_0200_9_HD_km0996,180.0,42.0
170,6,13421200,034-02_0200_9_HD_km0996,202.5,0.0
171,6,13421200,034-02_0200_9_HD_km0996,202.5,10.0
172,6,13421200,034-02_0200_9_HD_km0996,202.5,20.0
173,6,13421200,034-02_0200_9_HD_km0996,202.5,30.0
174,6,13421200,034-02_0200_9_HD_km0996,202.5,42.0
175,7,13421200,034-02_0200_9_HD_km0996,225.0,0.0
176,7,13421200,034-02_0200_9_HD_km0996,225.0,10.0
177,7,13421200,034-02_0200_9_HD_km0996,225.0,20.0
178,7,13421200,034-02_0200_9_HD_km0996,225.0,30.0
179,7,13421200,034-02_0200_9_HD_km0996,225.0,42.0
180,7,13421200,034-02_0200_9_HD_km0996,225.0,46.0
181,7,13421200,034-02_0200_9_HD_km0996,247.5,0.0
182,7,13421200,034-02_0200_9_HD_km0996,247.5,10.0
183,7,13421200,034-02_0200_9_HD_km0996,247.5,20.0
184,7,13421200,034-02_0200_9_HD_km0996,247.5,30.0
185,7,13421200,034-02_0200_9_HD_km0996,247.5,42.0
186,7,13421200,034-02_0200_9_HD_km0996,247.5,46.0
187,7,13421200,034-02_0200_9_HD_km0996,270.0,0.0
188,7,13421200,034-02_0200_9_HD_km0996,270.0,10.0
189,7,13421200,034-02_0200_9_HD_km0996,270.0,20.0
190,7,13421200,034-02_0200_9_HD_km0996,270.0,30.0
191,7,13421200,034-02_0200_9_HD_km0996,270.0,42.0
192,7,13421200,034-02_0200_9_HD_km0996,270.0,46.0
193,7,13421200,034-02_0200_9_HD_km0996,292.5,0.0
194,7,13421200,034-02_0200_9_HD_km0996,292.5,10.0
195,7,13421200,034-02_0200_9_HD_km0996,292.5,20.0
196,7,13421200,034-02_0200_9_HD_km0996,292.5,30.0
197,7,13421200,034-02_0200_9_HD_km0996,292.5,42.0
198,7,13421200,034-02_0200_9_HD_km0996,292.5,46.0
199,7,13421200,034-02_0200_9_HD_km0996,315.0,0.0
200,7,13421200,034-02_0200_9_HD_km0996,315.0,10.0
201,7,13421200,034-02_0200_9_HD_km0996,315.0,20.0
202,7,13421200,034-02_0200_9_HD_km0996,315.0,30.0
203,7,13421200,034-02_0200_9_HD_km0996,315.0,42.0
204,7,13421200,034-02_0200_9_HD_km0996,315.0,46.0
205,7,13421200,034-02_0200_9_HD_km0996,337.5,0.0
206,7,13421200,034-02_0200_9_HD_km0996,337.5,10.0
207,7,13421200,034-02_0200_9_HD_km0996,337.5,20.0
208,7,13421200,034-02_0200_9_HD_km0996,337.5,30.0
209,7,13421200,034-02_0200_9_HD_km0996,337.5,42.0
210,7,13421200,034-02_0200_9_HD_km0996,337.5,46.0
211,7,13421200,034-02_0200_9_HD_km0996,360.0,0.0
212,7,13421200,034-02_0200_9_HD_km0996,360.0,10.0
213,7,13421200,034-02_0200_9_HD_km0996,360.0,20.0
214,7,13421200,034-02_0200_9_HD_km0996,360.0,30.0
215,7,13421200,034-02_0200_9_HD_km0996,360.0,42.0
216,7,13421200,034-02_0200_9_HD_km0996,360.0,46.0
217,7,13421200,034-02_0200_9_HD_km0996,22.5,0.0
218,7,13421200,034-02_0200_9_HD_km0996,22.5,10.0
219,7,13421200,034-02_0200_9_HD_km0996,22.5,20.0
220,7,13421200,034-02_0200_9_HD_km0996,22.5,30.0
221,7,13421200,034-02_0200_9_HD_km0996,22.5,42.0
222,7,13421200,034-02_0200_9_HD_km0996,45.0,0.0
223,7,13421200,034-02_0200_9_HD_km0996,45.0,10.0
224,7,13421200,034-02_0200_9_HD_km0996,45.0,20.0
225,7,13421200,034-02_0200_9_HD_km0996,45.0,30.0
226,7,13421200,034-02_0200_9_HD_km0996,45.0,42.0
227,7,13421200,034-02_0200_9_HD_km0996,67.5,0.0
228,7,13421200,034-02_0200_9_HD_km0996,67.5,10.0
229,7,13421200,034-02_0200_9_HD_km0996,67.5,20.0
230,7,13421200,034-02_0200_9_HD_km0996,67.5,30.0
231,7,13421200,034-02_0200_9_HD_km0996,67.5,42.0
232,7,13421200,034-02_0200_9_HD_km0996,90.0,0.0
233,7,13421200,034-02_0200_9_HD_km0996,90.0,10.0
234,7,13421200,034-02_0200_9_HD_km0996,90.0,20.0
235,7,13421200,034-02_0200_9_HD_km0996,90.0,30.0
236,7,13421200,034-02_0200_9_HD_km0996,90.0,42.0
237,7,13421200,034-02_0200_9_HD_km0996,112.5,0.0
238,7,13421200,034-02_0200_9_HD_km0996,112.5,10.0
239,7,13421200,034-02_0200_9_HD_km0996,112.5,20.0
240,7,13421200,034-02_0200_9_HD_km0996,112.5,30.0
241,7,13421200,034-02_0200_9_HD_km0996,112.5,42.0
242,7,13421200,034-02_0200_9_HD_km0996,135.0,0.0
243,7,13421200,034-02_0200_9_HD_km0996,135.0,10.0
244,7,13421200,034-02_0200_9_HD_km0996,135.0,20.0
245,7,13421200,034-02_0200_9_HD_km0996,135.0,30.0
246,7,13421200,034-02_0200_9_HD_km0996,135.0,42.0
247,7,13421200,034-02_0200_9_HD_km0996,157.5,0.0
248,7,13421200,034-02_0200_9_HD_km0996,157.5,10.0
249,7,13421200,034-02_0200_9_HD_km0996,157.5,20.0
250,7,13421200,034-02_0200_9_HD_km0996,157.5,30.0
251,7,13421200,034-02_0200_9_HD_km0996,157.5,42.0
252,7,13421200,034-02_0200_9_HD_km0996,180.0,0.0
253,7,13421200,034-02_0200_9_HD_km0996,180.0,10.0
254,7,13421200,034-02_0200_9_HD_km0996,180.0,20.0
255,7,13421200,034-02_0200_9_HD_km0996,180.0,30.0
256,7,13421200,034-02_0200_9_HD_km0996,180.0,42.0
257,7,13421200,034-02_0200_9_HD_km0996,202.5,0.0
258,7,13421200,034-02_0200_9_HD_km0996,202.5,10.0
259,7,13421200,034-02_0200_9_HD_km0996,202.5,20.0
260,7,13421200,034-02_0200_9_HD_km0996,202.5,30.0
261,7,13421200,034-02_0200_9_HD_km0996,202.5,42.0
