time,fid,P
2024-03-07,300268,0.0
2024-03-08,300268,0.0
2024-03-09,300268,0.0
2024-03-10,300268,0.0
2024-03-11,300268,0.0
2024-03-12,300268,4.7298126
2024-03-13,300268,0.049972534
2024-03-14,300268,0.0
2024-03-15,300268,0.0
2024-03-16,300268,0.3199768
2024-03-17,300268,0.5600128
2024-03-18,300268,3.610138
2024-03-19,300268,0.0
2024-03-20,300268,0.02998352
2024-03-21,300268,0.43984985
2024-03-22,300268,0.0
2024-03-23,300268,0.9598999
2024-03-24,300268,5.229965
2024-03-25,300268,4.98999
2024-03-26,300268,0.0
2024-03-27,300268,0.05996704
2024-03-28,300268,0.23995972
2024-03-29,300268,2.0700226
2024-03-30,300268,0.009994507
2024-03-31,300268,2.509903
2024-04-01,300268,11.659988
2024-04-02,300268,0.0
2024-04-03,300268,0.44995117
2024-04-04,300268,6.0999146
2024-04-05,300268,6.8499756
2024-04-06,300268,4.0802917
2024-04-07,300268,0.040039062
2024-04-08,300268,0.4600525
2024-04-09,300268,1.5900269
2024-04-10,300268,1.3900146
2024-04-11,300268,0.010009766
2024-04-12,300268,0.2600708
2024-04-13,300268,0.0
2024-04-14,300268,0.0
2024-04-15,300268,0.0
2024-04-16,300268,20.279877
2024-04-17,300268,6.309967
2024-04-18,300268,4.650116
2024-04-19,300268,2.4699707
2024-04-20,300268,17.179535
2024-04-21,300268,1.3998108
2024-04-22,300268,1.9899902
2024-04-23,300268,1.4100647
2024-04-24,300268,1.2498169
2024-04-25,300268,5.719818
2024-04-26,300268,5.190094
2024-04-27,300268,0.05001831
2024-04-28,300268,1.7802429
2024-04-29,300268,0.17004395
2024-04-30,300268,0.0
2024-05-01,300268,0.25012207
2024-05-02,300268,5.9899597
2024-05-03,300268,0.0
2024-05-04,300268,5.8498535
2024-05-05,300268,6.2500305
2024-05-06,300268,3.2601318
2024-05-07,300268,0.0
2024-05-08,300268,0.0
2024-05-09,300268,0.0
2024-05-10,300268,0.0
2024-05-11,300268,0.0
2024-05-12,300268,0.0
2024-05-13,300268,0.0
2024-05-14,300268,4.389984
2024-05-15,300268,0.0
2024-05-16,300268,7.790161
2024-05-17,300268,1.9301147
2024-05-18,300268,0.11999512
2024-05-19,300268,0.0
2024-05-20,300268,0.0
2024-05-21,300268,0.74002075
2024-05-22,300268,23.190033
2024-05-23,300268,9.519928
2024-05-24,300268,0.0
2024-05-25,300268,21.430054
2024-05-26,300268,10.119965
2024-05-27,300268,3.5600586
2024-05-28,300268,0.040039062
2024-05-29,300268,8.21991
2024-05-30,300268,11.0199585
2024-05-31,300268,0.269989
2024-06-01,300268,0.47009277
2024-06-02,300268,3.5899658
2024-06-03,300268,0.0
2024-06-04,300268,0.0
2024-06-05,300268,1.6401367
2024-06-06,300268,0.7699585
2024-06-07,300268,0.6000061
2024-06-08,300268,0.0
2024-06-09,300268,1.6800232
2024-06-10,300268,1.7400208
2024-06-11,300268,32.359863
2024-06-12,300268,4.5899963
2024-06-13,300268,0.77001953
2024-06-14,300268,0.27008057
2024-06-15,300268,4.8603516
2024-06-16,300268,9.140015
2024-06-17,300268,1.4002075
2024-06-18,300268,0.0
2024-06-19,300268,0.21020508
2024-06-20,300268,0.0
2024-06-21,300268,0.0
2024-06-22,300268,1.4702759
2024-06-23,300268,0.0
2024-06-24,300268,0.0
2024-06-25,300268,0.0
2024-06-26,300268,0.0
2024-06-27,300268,0.0
2024-06-28,300268,0.0
2024-06-29,300268,0.0
2024-06-30,300268,0.31011963
2024-07-01,300268,0.0
2024-07-02,300268,4.7907715
2024-07-03,300268,11.23053
2024-07-04,300268,0.77001953
2024-07-05,300268,0.6703491
2024-07-06,300268,19.650146
2024-07-07,300268,4.34021
2024-07-08,300268,0.14013672
2024-07-09,300268,24.690063
2024-07-10,300268,1.3001099
2024-07-11,300268,0.0
2024-07-12,300268,21.140564
2024-07-13,300268,0.15002441
2024-07-14,300268,0.0
2024-07-15,300268,2.2598877
2024-07-16,300268,7.2004395
2024-07-17,300268,0.0
2024-07-18,300268,0.0
2024-07-19,300268,0.0
2024-07-20,300268,0.0
2024-07-21,300268,2.000122
2024-07-22,300268,0.2000122
2024-07-23,300268,0.0
2024-07-24,300268,0.0
2024-07-25,300268,1.7504883
2024-07-26,300268,2.6801147
2024-07-27,300268,0.0
2024-07-28,300268,0.0
2024-07-29,300268,0.0
2024-07-30,300268,0.0
2024-07-31,300268,0.0
2024-08-01,300268,0.0
2024-08-02,300268,0.0
2024-08-03,300268,0.0
2024-08-04,300268,0.0
2024-08-05,300268,0.0
2024-08-06,300268,0.0
2024-08-07,300268,0.020019531
2024-08-08,300268,0.44000244
2024-08-09,300268,0.0
2024-08-10,300268,0.040039062
2024-08-11,300268,0.0
2024-08-12,300268,0.0
2024-08-13,300268,1.6100464
2024-08-14,300268,2.4005737
2024-08-15,300268,0.0
2024-08-16,300268,4.870056
2024-08-17,300268,0.0
2024-08-18,300268,0.0
2024-08-19,300268,0.0
2024-08-20,300268,9.619934
2024-08-21,300268,0.0
2024-08-22,300268,0.030029297
2024-08-23,300268,0.6102295
2024-08-24,300268,9.4001465
2024-08-25,300268,0.39001465
2024-08-26,300268,0.15577984
2024-08-27,300268,0.39167404
2024-08-28,300268,0.016586304
