,measurement_location_id,measurement_location_code,measurement_location_description,parameter_id,parameter_code,date_time,unit,value,value_type
115,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 12:10:00+01:00,cm,193.0,meting
116,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 12:20:00+01:00,cm,199.0,meting
117,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 12:30:00+01:00,cm,204.0,meting
118,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 12:40:00+01:00,cm,193.0,meting
119,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 12:50:00+01:00,cm,198.0,meting
120,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 13:00:00+01:00,cm,202.0,meting
121,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 13:10:00+01:00,cm,193.0,meting
122,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 13:20:00+01:00,cm,201.0,meting
123,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 13:30:00+01:00,cm,197.0,meting
124,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 13:40:00+01:00,cm,192.0,meting
125,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 13:50:00+01:00,cm,202.0,meting
126,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 14:00:00+01:00,cm,197.0,meting
127,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 14:10:00+01:00,cm,192.0,meting
128,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 14:20:00+01:00,cm,204.0,meting
129,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 14:30:00+01:00,cm,196.0,meting
130,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 14:40:00+01:00,cm,191.0,meting
131,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 14:50:00+01:00,cm,203.0,meting
132,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 15:00:00+01:00,cm,194.0,meting
133,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 15:10:00+01:00,cm,191.0,meting
134,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 15:20:00+01:00,cm,199.0,meting
135,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 15:30:00+01:00,cm,193.0,meting
136,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 15:40:00+01:00,cm,191.0,meting
137,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 15:50:00+01:00,cm,199.0,meting
138,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 16:00:00+01:00,cm,191.0,meting
139,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 16:10:00+01:00,cm,192.0,meting
140,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 16:20:00+01:00,cm,200.0,meting
141,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 16:30:00+01:00,cm,192.0,meting
142,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 16:40:00+01:00,cm,194.0,meting
143,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 16:50:00+01:00,cm,198.0,meting
144,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 17:00:00+01:00,cm,195.0,meting
145,4,9889,Hintham beneden,4724,WATHTE,2025-01-16 17:10:00+01:00,cm,195.0,verwachting
